date,time,open,maximum,minimum,close,volume
15.10.2001,0:00,1.5624,1.5628,1.5554,1.5581,3828
16.10.2001,0:00,1.558,1.566,1.5572,1.5652,4802
17.10.2001,0:00,1.5649,1.5709,1.5627,1.5705,4197
18.10.2001,0:00,1.5704,1.5801,1.5687,1.5781,4778
19.10.2001,0:00,1.5782,1.579,1.5736,1.5745,4003
22.10.2001,0:00,1.5754,1.5806,1.5739,1.5782,3514
23.10.2001,0:00,1.5784,1.5805,1.5697,1.5723,4627
24.10.2001,0:00,1.5724,1.5771,1.5702,1.5742,4744
25.10.2001,0:00,1.5742,1.5785,1.5726,1.5738,4376
26.10.2001,0:00,1.5736,1.5783,1.5725,1.5765,4363
29.10.2001,0:00,1.5762,1.578,1.5732,1.5739,3761
30.10.2001,0:00,1.5738,1.58,1.5734,1.579,4537
31.10.2001,0:00,1.5792,1.5891,1.578,1.5883,5119
01.11.2001,0:00,1.5882,1.5961,1.5875,1.5944,5028
02.11.2001,0:00,1.5946,1.5973,1.5896,1.5908,4537
05.11.2001,0:00,1.5911,1.5964,1.5893,1.5935,3272
06.11.2001,0:00,1.593,1.5969,1.5891,1.5928,3789
07.11.2001,0:00,1.5924,1.5994,1.5889,1.5973,4277
08.11.2001,0:00,1.5972,1.5995,1.5948,1.5989,4247
09.11.2001,0:00,1.5991,1.6052,1.597,1.6032,4210
12.11.2001,0:00,1.6028,1.6049,1.6005,1.6036,2047
13.11.2001,0:00,1.6034,1.6044,1.5929,1.5933,4381
14.11.2001,0:00,1.5932,1.5946,1.5876,1.5921,4295
15.11.2001,0:00,1.5923,1.5927,1.5856,1.591,3685
16.11.2001,0:00,1.5905,1.5929,1.5864,1.5901,4197
19.11.2001,0:00,1.5888,1.5915,1.5824,1.5906,4722
20.11.2001,0:00,1.5905,1.5962,1.5896,1.5941,4454
21.11.2001,0:00,1.5942,1.6024,1.5938,1.6018,4252
22.11.2001,0:00,1.6021,1.6029,1.5982,1.5996,3274
23.11.2001,0:00,1.5992,1.601,1.5959,1.5992,3086
26.11.2001,0:00,1.5991,1.602,1.5972,1.5992,3869
27.11.2001,0:00,1.5989,1.5999,1.5912,1.5935,4438
28.11.2001,0:00,1.5934,1.5948,1.5831,1.5848,4127
29.11.2001,0:00,1.5846,1.585,1.5789,1.58,5402
30.11.2001,0:00,1.5796,1.5798,1.5702,1.5712,5572
03.12.2001,0:00,1.5734,1.5778,1.572,1.5762,4293
04.12.2001,0:00,1.5763,1.578,1.5693,1.5714,4160
05.12.2001,0:00,1.5715,1.5766,1.5699,1.5746,4021
06.12.2001,0:00,1.5744,1.5775,1.5707,1.5732,4307
07.12.2001,0:00,1.5731,1.5772,1.5714,1.5751,4499
10.12.2001,0:00,1.575,1.5797,1.5744,1.578,3416
11.12.2001,0:00,1.5782,1.579,1.5714,1.5717,3311
12.12.2001,0:00,1.5718,1.5728,1.5639,1.566,4085
13.12.2001,0:00,1.5665,1.5718,1.564,1.5698,3301
14.12.2001,0:00,1.5706,1.5709,1.5583,1.5615,4341
17.12.2001,0:00,1.5589,1.5694,1.5584,1.569,4823
18.12.2001,0:00,1.5688,1.5753,1.5657,1.5742,5126
19.12.2001,0:00,1.5745,1.5778,1.5719,1.5751,4757
20.12.2001,0:00,1.5753,1.58,1.5735,1.5791,4138
21.12.2001,0:00,1.579,1.5867,1.5782,1.586,4506
24.12.2001,0:00,1.5855,1.6055,1.5846,1.5949,5612
25.12.2001,0:00,1.595,1.5963,1.5931,1.5948,148
26.12.2001,0:00,1.5952,1.6019,1.5936,1.6009,2658
27.12.2001,0:00,1.6012,1.6043,1.5926,1.5983,6094
28.12.2001,0:00,1.5976,1.5989,1.5892,1.5905,5431
31.12.2001,0:00,1.5902,1.5978,1.5883,1.5917,3573
01.01.2002,0:00,1.5934,1.5953,1.5914,1.5922,66
02.01.2002,0:00,1.5926,1.5995,1.5906,1.597,4504
03.01.2002,0:00,1.597,1.5987,1.5913,1.5978,4845
04.01.2002,0:00,1.5983,1.5994,1.5946,1.5955,3863
07.01.2002,0:00,1.5949,1.601,1.5929,1.5975,3453
08.01.2002,0:00,1.5978,1.6026,1.5933,1.5958,4372
09.01.2002,0:00,1.5958,1.5979,1.5932,1.5967,4554
10.01.2002,0:00,1.5968,1.6049,1.596,1.5974,5800
11.01.2002,0:00,1.5974,1.602,1.5947,1.5958,4624
14.01.2002,0:00,1.5957,1.5987,1.5937,1.5946,4109
15.01.2002,0:00,1.595,1.5952,1.5865,1.5885,4694
16.01.2002,0:00,1.5885,1.5996,1.5876,1.5989,4883
17.01.2002,0:00,1.5987,1.6168,1.5973,1.6121,5921
18.01.2002,0:00,1.6122,1.6157,1.6096,1.6137,5366
21.01.2002,0:00,1.6183,1.619,1.6102,1.6113,4007
